film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,year
1483,164,29120000,416,0,8,26.46,70000.0,416,1572.1844293272864,2018-01-04,4,2,1,2018
1483,312,30960000,387,0,7,59.63,80000.0,387,649.0021801106825,2018-01-04,4,2,1,2018
1483,307,31520000,394,0,4,85.28,80000.0,394,462.0075046904315,2018-01-04,4,2,1,2018
1483,57,31700000,317,0,7,13.32,100000.0,317,2379.87987987988,2018-01-04,4,2,1,2018
1483,396,33200000,332,0,3,75.28,100000.0,332,441.0201912858661,2018-01-04,4,2,1,2018
1483,115,29400000,294,0,2,50.87,100000.0,294,577.9437782583055,2018-01-04,4,2,1,2018
1483,184,33360000,417,2,7,22.91,80000.0,415,1820.1658664338715,2018-01-04,4,2,1,2018
1483,88,29000000,290,0,6,12.7,100000.0,290,2283.464566929134,2018-01-04,4,2,1,2018
1483,455,36800000,460,2,6,59.9,80000.0,458,767.9465776293823,2018-01-04,4,2,1,2018
1483,528,41600000,419,0,6,52.11,99284.00954653938,419,804.0683170216848,2018-01-04,4,2,1,2018
1483,180,43920000,551,0,6,50.18,79709.61887477314,551,1098.047030689518,2018-01-04,4,2,1,2018
1483,248,45430000,656,0,4,23.77,69253.0487804878,656,2759.7812368531763,2018-01-04,4,2,1,2018
1483,262,46900000,469,0,3,48.85,100000.0,469,960.0818833162742,2018-01-04,4,2,1,2018
1483,181,33750000,343,0,4,43.04,98396.50145772594,343,796.9330855018587,2018-01-04,4,2,1,2018
1483,441,3400000,68,0,8,3.27,50000.0,68,2079.5107033639147,2018-01-04,4,2,1,2018
1483,475,38430000,549,0,8,47.33,70000.0,549,1159.940840904289,2018-01-04,4,2,1,2018
1483,155,8360000,120,0,4,31.25,69666.66666666667,120,384.0,2018-01-04,4,2,1,2018
1483,314,8400000,120,0,4,12.42,70000.0,120,966.1835748792272,2018-01-04,4,2,1,2018
1483,474,47860000,500,4,4,74.29,95720.0,496,673.0380939561178,2018-01-04,4,2,1,2018
1483,156,54080000,676,0,10,15.56,80000.0,676,4344.473007712082,2018-01-04,4,2,1,2018
1483,172,54100000,541,0,5,74.62,100000.0,541,725.0067006164567,2018-01-04,4,2,1,2018
1483,429,58100000,581,0,4,70.85,100000.0,581,820.0423429781229,2018-01-04,4,2,1,2018
1485,448,400097500,2698,0,16,78.8,148294.10674573758,2698,3423.857868020305,2018-01-04,4,2,1,2018
1483,431,59520000,496,0,12,49.38,120000.0,496,1004.4552450384772,2018-01-04,4,2,1,2018
1483,522,72600000,484,2,8,60.12,150000.0,482,805.0565535595476,2018-01-04,4,2,1,2018
1483,417,53870000,551,0,5,36.49,97767.6950998185,551,1510.002740476843,2018-01-04,4,2,1,2018
1483,485,78000000,522,0,4,91.26,149425.28735632185,522,571.9921104536489,2018-01-04,4,2,1,2018
1483,32,116100000,1161,0,16,15.44,100000.0,1161,7519.430051813471,2018-01-04,4,2,1,2018
1483,34,117840000,982,0,8,53.37,120000.0,982,1839.9850103054152,2018-01-04,4,2,1,2018
1483,89,120750000,805,0,7,37.35,150000.0,805,2155.28781793842,2018-01-04,4,2,1,2018
1483,445,69120000,576,0,10,57.36,120000.0,576,1004.18410041841,2018-01-04,4,2,1,2018
1485,524,210225000,1409,0,10,72.89,149201.56139105748,1409,1933.0498010701056,2018-01-04,4,2,1,2018
1485,304,187200000,1267,0,7,97.91,147750.591949487,1267,1294.0455520375856,2018-01-04,4,2,1,2018
1483,518,93860000,963,2,12,56.48,97466.251298027,961,1705.028328611898,2018-01-04,4,2,1,2018
1485,450,171600000,1155,1,7,77.88,148571.42857142858,1154,1483.0508474576272,2018-01-04,4,2,1,2018
1483,259,50000000,625,0,3,65.51,80000.0,625,954.0528163639136,2018-01-04,4,2,1,2018
1483,195,123280000,1541,0,12,37.77,80000.0,1541,4079.957638337304,2018-01-04,4,2,1,2018
1483,524,260430000,1743,1,13,60.23,149414.80206540448,1742,2893.9066910177653,2018-01-04,4,2,1,2018
1483,266,245700000,1638,0,7,26.15,150000.0,1638,6263.862332695985,2018-01-04,4,2,1,2018
1483,73,230760000,1931,0,9,70.35,119502.8482651476,1931,2744.847192608386,2018-01-04,4,2,1,2018
1483,352,195500000,1319,0,9,56.85,148218.34723275207,1319,2320.14072119613,2018-01-04,4,2,1,2018
1483,489,191980000,1371,4,33,69.65,140029.1757840992,1367,1968.4134960516867,2018-01-04,4,2,1,2018
1483,72,191760000,1608,0,8,52.89,119253.73134328358,1608,3040.272263187748,2018-01-04,4,2,1,2018
