film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,month,quarter,day,year
1481,352,26700000,181,0,3,56.56,147513.81215469612,181,320.01414427157,4,2,1,2018
1481,181,25050000,252,0,3,56.0,99404.76190476192,252,450.0,4,2,1,2018
1481,452,23700000,158,0,3,75.24,150000.0,158,209.99468367889423,4,2,1,2018
1481,396,23400000,234,0,4,41.79,100000.0,234,559.9425699928213,4,2,1,2018
1481,56,22520000,283,0,5,72.56,79575.97173144876,283,390.02205071664827,4,2,1,2018
1481,39,30300000,308,0,3,59.69,98376.62337662338,308,515.9993298710002,4,2,1,2018
1482,381,3360000,56,0,4,8.24,60000.0,56,679.6116504854368,4,2,1,2018
1482,397,3450000,69,0,3,6.89,50000.0,69,1001.4513788098694,4,2,1,2018
1482,315,3900000,78,0,1,52.0,50000.0,78,150.0,4,2,1,2018
1482,186,29200000,365,0,1,72.13,80000.0,365,506.03077776237353,4,2,1,2018
1482,43,28880000,361,0,7,12.1,80000.0,361,2983.4710743801656,4,2,1,2018
1482,181,28600000,289,0,3,28.61,98961.93771626298,289,1010.1363159734358,4,2,1,2018
1482,180,26800000,337,0,4,46.04,79525.22255192879,337,731.9721980886186,4,2,1,2018
1482,221,26160000,327,0,2,32.63,80000.0,327,1002.1452650934722,4,2,1,2018
1482,522,25650000,173,0,3,67.84,148265.89595375722,173,255.01179245283015,4,2,1,2018
1482,243,29520000,492,13,8,32.89,60000.0,479,1495.8954089388872,4,2,1,2018
1482,158,24920000,356,0,6,19.78,70000.0,356,1799.797775530839,4,2,1,2018
1482,528,23770000,333,2,5,27.1,71381.38138138138,331,1228.7822878228783,4,2,1,2018
1482,380,23690000,271,0,4,20.98,87416.97416974169,271,1291.7063870352715,4,2,1,2018
1482,485,22260000,150,0,4,81.52,148400.0,150,184.0039254170756,4,2,1,2018
1482,321,20800000,416,0,1,95.41,50000.0,416,436.0129965412431,4,2,1,2018
1482,83,19850000,200,0,10,13.89,99250.0,200,1439.8848092152627,4,2,1,2018
1482,362,19320000,276,0,4,43.26,70000.0,276,638.0027739251041,4,2,1,2018
1482,442,24320000,307,1,2,78.72,79218.24104234528,306,389.989837398374,4,2,1,2018
1482,428,17990000,257,0,2,85.67,70000.0,257,299.9883273024396,4,2,1,2018
1482,307,32240000,403,0,4,87.23,80000.0,403,461.9970193740685,4,2,1,2018
1482,248,32480000,466,0,3,22.51,69699.57081545064,466,2070.191026210573,4,2,1,2018
1482,198,45780000,654,0,5,76.05,70000.0,654,859.9605522682446,4,2,1,2018
1482,56,44160000,566,0,18,11.53,78021.20141342757,566,4908.933217692975,4,2,1,2018
1482,187,42000000,525,0,6,31.7,80000.0,525,1656.1514195583595,4,2,1,2018
1482,166,41910000,744,0,4,78.32,56330.645161290326,744,949.9489274770176,4,2,1,2018
1482,431,40560000,338,0,6,59.57,120000.0,338,567.3996978344804,4,2,1,2018
1482,223,40460000,578,0,12,22.04,70000.0,578,2622.5045372050818,4,2,1,2018
1482,247,32440000,608,0,3,83.52,53355.26315789474,608,727.9693486590038,4,2,1,2018
1482,513,39350000,395,0,3,55.01,99620.25316455695,395,718.0512634066533,4,2,1,2018
1482,350,35200000,352,0,3,52.85,100000.0,352,666.0359508041627,4,2,1,2018
1482,291,34020000,625,0,6,52.08,54432.0,625,1200.076804915515,4,2,1,2018
1482,73,33960000,283,0,4,56.49,120000.0,283,500.9736236502036,4,2,1,2018
1482,445,33000000,275,0,3,88.89,120000.0,275,309.3711328608392,4,2,1,2018
1482,191,32700000,654,0,6,20.72,50000.0,654,3156.3706563706564,4,2,1,2018
1482,455,32560000,407,17,3,38.76,80000.0,390,1050.051599587203,4,2,1,2018
1482,35,38800000,388,0,3,78.38,100000.0,388,495.02424087777496,4,2,1,2018
1481,450,10650000,71,0,1,52.21,150000.0,71,135.98927408542426,4,2,1,2018
1482,222,17520000,219,0,6,22.32,80000.0,219,981.1827956989248,4,2,1,2018
1482,201,15820000,226,0,3,53.05,70000.0,226,426.0131950989633,4,2,1,2018
1482,168,8000000,80,0,4,10.0,100000.0,80,800.0,4,2,1,2018
1482,300,7840000,98,0,2,15.08,80000.0,98,649.867374005305,4,2,1,2018
1482,526,7700000,77,0,1,27.9,100000.0,77,275.98566308243727,4,2,1,2018
1482,165,7160000,95,0,5,25.68,75368.42105263157,95,369.9376947040498,4,2,1,2018
1482,310,6900000,115,0,2,12.78,60000.0,115,899.8435054773083,4,2,1,2018
1482,495,6840000,114,0,2,20.0,60000.0,114,570.0,4,2,1,2018
