date,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,film_code,cinema_code,month,quarter,day,year
2018-03-07,8148094996,145928,164,2787,31.56370517928287,50427.91969654137,145764,799.9775220540475,1551,216,7,3,3,2018
2018-03-08,15215489991,136647,446,2662,24.212302936630604,93203.25800094858,136201,863.0968516686779,1493,209,8,3,3,2018
2018-03-09,3079459999,30761,57,2270,8.539035947712419,91008.12501289588,30704,800.4088763547782,1556,207,9,3,3,2018
2018-03-10,5234279991,46726,127,2508,11.355040783034259,94006.63508181498,46599,884.0663938241366,1562,203,10,4,3,2018
2018-03-11,3208490000,45485,33,2303,13.509038142620232,68243.20583562322,45452,793.7025966304052,1587,177,11,4,3,2018
2018-04-04,12357739996,123419,95,2591,26.56933104631218,88139.61565149807,123324,975.6548609497927,1485,198,4,2,4,2018
2018-04-05,14782460000,140733,215,2709,29.315020188425304,89236.9411921483,140518,784.6512782174235,1495,207,5,2,4,2018
2018-04-07,5828224984,52890,125,2607,11.53150289017341,88299.8433951376,52765,806.3663630493172,1511,211,7,3,4,2018
2018-04-08,6382794992,68980,234,2542,14.710589198036006,84839.11830974027,68746,883.7102192373894,1559,202,8,3,4,2018
2018-04-09,9617299998,169207,185,2615,35.87658605974396,51556.1489369674,169022,788.0349200466884,1562,219,9,3,4,2018
2018-04-10,10446664991,89583,126,2651,19.067035330261135,95561.61314469304,89457,873.3912875724292,1553,211,10,4,4,2018
2018-04-11,682985000,7584,7,664,11.469802631578949,88278.08097068565,7577,813.3215575780342,1569,47,11,4,4,2018
2018-05-04,16992624447,164576,215,2591,34.29385135135135,89386.88842357168,164361,974.8563213950376,1484,199,4,2,5,2018
2018-05-05,5160744997,62379,134,2613,15.349698216735254,80377.2451408442,62245,789.8048542451418,1484,207,5,2,5,2018
2018-05-06,71400000,1428,0,10,96.6375,50000.0,1428,383.5888166883843,1494,1,6,2,5,2018
2018-05-07,9662509981,84677,97,2636,16.7206940509915,90903.81323585956,84580,805.4609086075301,1552,208,7,3,5,2018
2018-05-08,5724189989,55486,104,2508,12.152541254125412,89181.96814646095,55382,883.2609254795577,1511,205,8,3,5,2018
2018-05-09,3779744998,37624,103,2309,10.448104265402844,91569.26230141014,37521,788.4753170520352,1498,207,9,3,5,2018
